seed,paradigm,n_labels,image_auroc,accuracy
0,unsupervised,0,0.8056,0.8
0,supervised,2,0.5669,0.5625
0,supervised,5,0.7106,0.5375
0,supervised,10,0.7787,0.6875
0,supervised,20,0.795,0.7125
0,supervised,40,0.8556,0.7125
0,supervised,79,0.9294,0.8
1,unsupervised,0,0.8369,0.8125
1,supervised,2,0.5644,0.5
1,supervised,5,0.5919,0.6125
1,supervised,10,0.6875,0.675
1,supervised,20,0.7294,0.675
1,supervised,40,0.8506,0.675
1,supervised,79,0.91,0.8375
2,unsupervised,0,0.6812,0.65
2,supervised,2,0.6031,0.5125
2,supervised,5,0.6819,0.5875
2,supervised,10,0.7975,0.7625
2,supervised,20,0.8594,0.725
2,supervised,40,0.8631,0.7625
2,supervised,79,0.9362,0.8375
3,unsupervised,0,0.73,0.675
3,supervised,2,0.73,0.675
3,supervised,5,0.6312,0.5625
3,supervised,10,0.7719,0.7
3,supervised,20,0.8906,0.8375
3,supervised,40,0.8881,0.8
3,supervised,79,0.9125,0.7875
4,unsupervised,0,0.7469,0.7625
4,supervised,2,0.4688,0.45
4,supervised,5,0.6231,0.55
4,supervised,10,0.7006,0.5875
4,supervised,20,0.8713,0.7125
4,supervised,40,0.8838,0.75
4,supervised,79,0.9356,0.8625
